Symbol,Name,Industry,Market Cap
ARGX,Argenx SE,Biotechnology,17101972335
ARHS,Arhaus,Home Improvement Retail,1191936249
ARI,Apollo Commercial Real Estate Finance,Mortgage Real Estate Investment Trust...,1957736060
ARIS,Aris Water Solutions,Utilities-Regulated Water,974863034
ARIZ,Arisz Acquisition,Blank Check / SPAC,87322635
ARKO,ARKO Corp.,Grocery Stores,1133932800
ARKR,Ark Restaurants,"Hotels, Restaurants & Leisure",65597479
ARL,American Realty Investors,Real Estate Management & Development,248256240
ARLO,Arlo Technologies,"Electronic Equipment, Instruments & C...",751288953
ARLP,Alliance Resource Partners,"Oil, Gas & Consumable Fuels",1962618865
ARMK,Aramark,"Hotels, Restaurants & Leisure",9746521073
ARMP,Armata Pharmaceuticals,Biotechnology,150255519
ARNC,Arconic,Aerospace & Defense,2690740474
AROC,Archrock,Energy Equipment & Services,1438043128
AROW,Arrow Financial,Banks,518739419
ARQQ,Arqit Quantum,Software-Infrastructure,1870737277
ARQT,Arcutis Biotherapeutics,Biotechnology,970324597
ARR,ARMOUR Residential REIT,Mortgage Real Estate Investment Trust...,806809852
ARRW,Arrowroot Acquisition,Blank Check / SPAC,350750009
ARRY,Array Technologies,Solar,1678350973
ARTA,Artisan Acquisition,Blank Check / SPAC,433468666
ARTE,Artemis Strategic Investment,Blank Check / SPAC,250807323
ARTL,Artelo Biosciences,Pharmaceuticals,19035450
ARTNA,Artesian Resources,Water Utilities,456539876
ARTW,Art's-Way Manufacturing Co.,Machinery,25551031
ARVL,Arrival,Auto Manufacturers,2375170559
ARVN,Arvinas,Pharmaceuticals,3570036180
ARW,Arrow Electronics,"Electronic Equipment, Instruments & C...",7951341476
ARWR,Arrowhead Pharmaceuticals,Biotechnology,4850105308
ARYD,ARYA Sciences Acquisition IV,Blank Check / SPAC,188027690
ARYE,Arya Sciences Acquisition V,Blank Check / SPAC,186492780
ASA,ASA Gold and Precious Metals,Capital Markets,432286636
ASAI,Sendas Distribuidora,Food & Staples Retailing,4628000249
ASAN,Asana,Software,7560645619
ASAQ,Atlantic Street Acquisition,Blank Check / SPAC,308124990
ASAX,Astrea Acquisition,Blank Check / SPAC,215306375
ASB,Associated Banc-Corp,Banks,3405806331
ASC,Ardmore Shipping,"Oil, Gas & Consumable Fuels",154637550
ASCA,A SPAC I Acquisition,Blank Check / SPAC,81681600
ASGN,ASGN Incorporated,Professional Services,6022236116
ASH,Ashland Global Holdings,Chemicals,5532984256
ASIX,AdvanSix,Chemicals,1437733856
ASLE,AerSale,Airports & Air Services,812536947
ASLN,ASLAN Pharmaceuticals,Biotechnology,62749307
ASM,Avino Silver & Gold Mines,Metals & Mining,109268415
ASMB,Assembly Biosciences,Biotechnology,99128024
ASML,ASML Holding,Semiconductors & Semiconductor Equipment,2.77831E+11
